species,s,f,g
Aegilops_kotschyi,193.1595125,2.352682862,2.149576675
Aegilops_tauschii,186.05205,1.426833171,1.328322625
Agropyron_cristatum,196.461025,0.552046228,0.446519299
Agrostis_canina,155.05605,0.995459841,1.015142449
Alopecurus_apiatus,233.92845,1.781365147,1.478968866
Alopecurus_arundinaceus,371.6901125,1.412422428,0.930297177
Arrhenatherum_elatius,645.2200563,1.934274318,0.342698517
Arthrostylidium_sarmentosum,91.125,1.8680625,2.484964759
Arundinella_hirta,255.38,1.8744892,1.489488325
Arundo_donax,153.125,4.6029375,4.723453338
Avena_barbata,336.3121125,2.017872675,1.397237095
Avena_eriantha,324.4878125,1.672085698,1.178709923
Avena_fatua,435.125,1.94500875,1.184028466
Avena_sativa,1513.94875,4.902711189,0.96676686
Bothriochloa_ischaemum,94.0506125,0.955554223,1.251186715
Brachiaria_reptans,77.50125,0.875764125,1.263224091
Brachypodium_sylvaticum,43.4778125,0.758687828,1.46108969
Briza_media,172.1440125,0.57444457,0.555967967
Bromus_catharticus,426.32,1.5006464,0.922907381
Bromus_inermis,273.9460677,0.703038671,0.513352677
Bromus_japoicus,297.1922,1.959982559,1.443713793
Bromus_ramosus,294.2738,0.294568074,0.218050697
Bromus_scoparius,210.33005,1.230641123,1.077527501
Bromus_sterilis,249.4261125,1.1042094,0.887826458
Bromus_tectorum,183.6486125,1.262951508,1.183424218
Bromus_tomentellus,308.6370125,1.263251292,0.913089503
Bromus_variegatus,280.4896125,0.60782099,0.460855638
Calamagrostis_eminens,59.405,0.94750975,1.561060698
Calamagrostis_epigejos,87.78125,0.6671375,0.904194946
Catabrosa_aquatica,133.00805,1.812899722,1.996100583
Chloris_gayana,42.32,2.54978,4.977112794
Chloris_radiata,45.125,1.092025,2.064294121
Chloris_virgata,55.125,1.113525,1.904466216
Chrysopogon_gryllus,119.8152,1.778057568,2.062706617
Chusquea_magnifolia,78.125,0.375,0.538745747
Cleistogenes_squarrosa,89.78,1.185096,1.588222463
Coix_lacryma-jobi,340.605,3.4877952,2.399789056
Cynodon_dactylon,63.28125,1.389023438,2.217275466
Dactylis_glomerata,130.78755,0.797151715,0.773607107
Digitaria_sanguinalis,196.02,2.3287176,2.112098827
Echinochloa_colona,162,2.14164,2.136665633
Echinochloa_crus-galli,137.5977525,1.874585298,2.052697709
Eleusine_coracana,155.76125,1.186900725,1.20762553
Elymus_nutans,109.52,0.744736,0.9036562
Elymus_smithii,298.90125,0.332079289,0.243907709
Elymus_tsukushiensis,353.78,0.8596854,0.580390793
Eragrostis_ferruginea,113.25125,0.9694307,1.156758952
Eremochloa_ciliaris,214.245,2.11888305,1.838227427
Festuca_rupicola,163.62405,0.52883293,0.524979716
Helictotrichon_pubescens,337.8700125,1.509265346,1.042649595
Hordeum_brevisubulatum,282.98205,1.83598754,1.385919125
Hordeum_bulbosum,234.4695125,1.990880631,1.651009733
Hordeum_distichon,231.125,1.9645625,1.640929755
Hordeum_vulgare,578.1733333,3.900077467,1.196063904
Ichnanthus_pallens,231.125,3.23575,2.702707832
Imperata_cylindrica,78.75125,2.256223313,3.228501233
Indocalamus_longiauritus,57.245,1.82668795,3.065795528
Isachne_angustifolia,66.125,1.520875,2.374970836
Koeleria_macrantha,132.845,3.321125,3.658981533
Leptochloa_chinensis,61.605,1.9011303,3.075753345
Leymus_chinensis,157.015625,2.137113981,2.222992905
Leymus_secalinus,204.078125,2.210055438,2.054978309
Lophatherum_gracile,312.5,3.8875,2.79249879
Miscanthus_floridulus,77.50125,2.596291875,3.744956375
Miscanthus_sinensis,130.41125,3.810616725,4.237262239
Oplismenus_undulatifolius,238.71125,2.284466663,1.877569335
Oryza_australiensis,151.1746333,3.061732089,3.188352404
Oryza_barthii,116.58645,4.59350613,5.402165231
Oryza_brachyantha,46.75445,1.391879977,2.584865281
Oryza_eichingeri,49.30245,1.815809234,3.283851971
Oryza_glaberrima,84.11045,3.285354177,4.548883554
Oryza_latifolia,77.20145,1.494423586,2.127801021
Oryza_longistaminata,128,3.12832,3.511185616
Oryza_minuta,79.00245,2.184417743,3.120779021
Oryza_officinalis,76.01445,3.147758375,4.584594316
Oryza_punctata,60.17045,2.308138462,3.778486115
Oryza_rufipogon,89.034725,2.483198932,3.489455531
Oryza_sativa,62.82360806,3.170149251,5.130986357
Panicum_antidotale,104.40125,1.316499763,1.636121449
Panicum_bisulcatum,172.05125,3.394571163,3.286272736
Panicum_coloratum,184.32,2.0901888,1.955000567
Panicum_dichotomiflorum,166.53125,1.493785313,1.469900428
Panicum_incomtum,85.15125,1.697915925,2.336513368
Panicum_palmatifolium,150,3.345,2.222216246
Panicum_virgatum,117.045,0.24509223,0.287674067
Pariana_ulei,50,0.935,1.679090912
Paspalum_dilatatum,150.51125,1.307942763,1.35379174
Paspalum_distichum,141.96125,1.6694643,1.779261705
Pennisetum_alopecuroides,146.205,1.40795415,1.47861464
Phalaris_arundinacea,96.605,1.62972635,2.105535108
Phragmites_australis,42.16023333,2.161473929,4.77459333
Phyllostachys_bambusoides,134.48,1.5882088,1.739107188
Phyllostachys_edulis,28.88,1.3975032,3.302188183
Poa_aitchisonii,282.03125,2.42546875,1.833980314
Poa_alpina,177.1903125,2.731920238,2.606127331
Porteresia_coarctata,135.63045,2.126685456,2.318847895
Psammochloa_villosa,43.71125,1.350677625,2.594195459
Pseudechinolaena_polystachya,50,0.395,0.709348567
Saccharum,269.12,4.7553504,3.680926443
Saccharum_officinarum,174.845,5.1089709,4.906303645
Saccharum_sinense,227.91125,4.14798475,3.48900725
Saccharum_spontaneum,171.125,2.89372375,2.80897543
Sacciolepis_indica,451.50125,4.031906163,2.409508927
Schizachyrium_scoparium,58.86125,0.278884603,0.461591071
Secale_cereale,803.3504031,2.631313939,0.58499089
Setaria_macrostachya,128,1.5488,1.738352944
Setaria_viridis,141.96125,2.207497438,2.35268023
Sorghum_נdrummondii,164.50685,1.686182209,1.679702927
Sorghum_bicolor,195.15625,2.178445828,1.972088909
Spodiopogon_sibiricus,93.16125,1.872541125,2.463549615
Sporobolus_cryptandrus,63.845,0.22141446,0.351876397
Sporobolus_elongatus,147.06125,1.53531945,1.607671184
Sporobolus_indicus,40.5,0.8991,1.794023338
Stenotaphrum_secundatum,166.53125,0.776035625,0.763627201
Stipa_inebrians,144.5,1.0115,1.068512399
Stipa_sibirica,28.88,0.482296,1.139626837
Stipa_splendens,89.055625,0.57759775,0.779116141
Thysanolaena_latifolia,75.1325,3.156011275,4.608812733
Triticum,351.125,1.896075,1.284908607
Triticum_aestivum,1444.725,3.1346775,0.606517533
Triticum_vulgare,1484,5.936,0.712269463
Vetiveria,149.645,2.0411578,2.118815191
Zea_mays,721.6897828,7.719408837,1.741549714
Zizania_latifolia,33.62,2.037372,4.461892278
Zoysia_japonica,93.16125,0.7676487,1.009932778
Zoysia_tenuifolia,55.125,1.38970125,2.37681155
